datahora,casos,obitos,pop
2020-06-18,6573,255,428703
2020-06-19,7151,279,428703
2020-06-20,7394,283,428703
2020-06-21,7649,302,428703
2020-06-22,7798,302,428703
2020-06-23,7961,316,428703
2020-06-24,8189,319,428703
2020-06-25,8404,344,428703
2020-06-26,8634,348,428703
2020-06-27,8826,356,428703
2020-06-28,8989,362,428703
2020-06-29,9109,362,428703
2020-06-30,9276,370,428703
2020-07-01,9448,372,428703
2020-07-02,9730,378,428703
2020-07-03,9947,380,428703
2020-07-04,10053,384,428703
2020-07-05,10500,384,428703
2020-07-06,11107,384,428703
2020-07-07,11429,386,428703
2020-07-08,11711,388,428703
2020-07-09,11797,393,428703
2020-07-10,11977,393,428703
2020-07-11,12328,397,428703
2020-07-12,12362,398,428703
2020-07-13,12367,398,428703
2020-07-14,12610,408,428703
2020-07-15,12746,409,428703
2020-07-16,12973,410,428703
2020-07-17,13111,414,428703
2020-07-18,13168,426,428703
2020-07-19,13209,426,428703
2020-07-20,13340,426,428703
2020-07-21,13387,431,428703
2020-07-22,13588,431,428703
2020-07-23,13776,436,428703
2020-07-24,13909,438,428703
2020-07-25,14529,446,428703
2020-07-26,14693,449,428703
2020-07-27,14701,449,428703
2020-07-28,14755,453,428703
2020-07-29,14969,458,428703
2020-07-30,15142,464,428703
2020-07-31,15302,470,428703
2020-08-01,15407,474,428703
2020-08-02,15738,474,428703
2020-08-03,15748,475,428703
2020-08-04,16104,481,428703
2020-08-05,16215,487,428703
2020-08-06,16487,495,428703
2020-08-07,16694,500,428703
2020-08-08,17193,504,428703
2020-08-09,17607,504,428703
2020-08-10,17609,505,428703
2020-08-11,17676,506,428703
2020-08-12,17756,512,428703
2020-08-13,17970,525,428703
2020-08-14,18114,529,428703
2020-08-15,18325,533,428703
2020-08-16,18359,533,428703
2020-08-17,18420,533,428703
2020-08-18,18474,538,428703
2020-08-19,18597,541,428703
2020-08-20,18660,548,428703
2020-08-21,18794,549,428703
2020-08-22,18939,550,428703
2020-08-23,18980,550,428703
2020-08-24,19001,550,428703
2020-08-25,19071,555,428703
2020-08-26,19258,559,428703
2020-08-27,19298,561,428703
2020-08-28,19394,565,428703
2020-08-29,19456,568,428703
2020-08-30,19511,568,428703
2020-08-31,19514,568,428703
2020-09-01,19593,571,428703
2020-09-02,19642,576,428703
2020-09-03,19703,579,428703
2020-09-04,19813,582,428703
2020-09-05,19890,585,428703
2020-09-06,19931,587,428703
2020-09-07,19962,588,428703
2020-09-08,19969,589,428703
2020-09-09,19988,591,428703
2020-09-10,20050,593,428703
2020-09-11,20111,595,428703
2020-09-12,20151,597,428703
2020-09-13,20165,597,428703
2020-09-14,20186,597,428703
2020-09-15,20280,598,428703
2020-09-16,20437,601,428703
2020-09-17,20477,611,428703
2020-09-18,20563,616,428703
2020-09-19,20644,622,428703
2020-09-20,20770,622,428703
2020-09-21,20780,622,428703
2020-09-22,20869,622,428703
2020-09-23,20916,623,428703
2020-09-24,20963,623,428703
2020-09-25,21030,624,428703
2020-09-26,21133,625,428703
2020-09-27,21165,625,428703
2020-09-28,21167,625,428703
2020-09-29,21198,626,428703
2020-09-30,21276,631,428703
2020-10-01,21374,635,428703
2020-10-02,21421,639,428703
2020-10-03,21560,639,428703
2020-10-04,21560,639,428703
2020-10-05,21571,639,428703
2020-10-06,21634,640,428703
2020-10-07,21721,642,428703
2020-10-08,21916,643,428703
2020-10-09,22041,643,428703
2020-10-10,22210,647,428703
2020-10-11,22289,647,428703
2020-10-12,22293,647,428703
2020-10-13,22316,647,428703
2020-10-14,22559,651,428703
2020-10-15,22676,657,428703
2020-10-16,22770,662,428703
2020-10-17,22860,665,428703
2020-10-18,22864,665,428703
2020-10-19,22865,665,428703
2020-10-20,23060,666,428703
2020-10-21,23170,671,428703
2020-10-22,23222,674,428703
2020-10-23,23431,676,428703
2020-10-24,23520,678,428703
2020-10-25,23584,678,428703
2020-10-26,23586,678,428703
2020-10-27,23725,678,428703
2020-10-28,23905,679,428703
2020-10-29,24150,680,428703
2020-10-30,24306,684,428703
2020-10-31,24401,686,428703
2020-11-01,24420,687,428703
2020-11-02,24428,688,428703
2020-11-03,24495,689,428703
2020-11-04,24651,694,428703
2020-11-05,24727,695,428703
2020-11-06,24727,695,428703
2020-11-07,24727,695,428703
2020-11-08,24727,695,428703
2020-11-09,24727,695,428703
2020-11-10,25340,695,428703
2020-11-11,25430,700,428703
2020-11-12,25588,703,428703
2020-11-13,25726,703,428703
2020-11-14,25852,727,428703
2020-11-15,25904,727,428703
2020-11-16,25933,727,428703
2020-11-17,26068,727,428703
2020-11-18,26174,737,428703
2020-11-19,26349,744,428703
2020-11-20,26540,744,428703
2020-11-21,26704,744,428703
2020-11-22,26855,744,428703
2020-11-23,26894,744,428703
2020-11-24,26972,747,428703
2020-11-25,27112,764,428703
2020-11-26,27221,764,428703
2020-11-27,27344,775,428703
2020-11-28,27458,783,428703
2020-11-29,27510,783,428703
2020-11-30,27549,783,428703
2020-12-01,27680,785,428703
2020-12-02,27876,788,428703
2020-12-03,28048,788,428703
2020-12-04,28285,788,428703
2020-12-05,28430,789,428703
2020-12-06,28448,789,428703
2020-12-07,28503,797,428703
2020-12-08,28679,817,428703
2020-12-09,28881,835,428703
2020-12-10,29024,836,428703
2020-12-11,29188,838,428703
2020-12-12,29435,838,428703
2020-12-13,29449,838,428703
2020-12-14,29772,838,428703
2020-12-15,29927,838,428703
2020-12-16,29927,838,428703
2020-12-17,30225,840,428703
2020-12-18,30432,841,428703
2020-12-19,30724,843,428703
2020-12-20,30724,843,428703
2020-12-21,31146,858,428703
2020-12-22,31411,879,428703
2020-12-23,31541,882,428703
2020-12-24,31625,886,428703
2020-12-25,31715,886,428703
2020-12-26,31747,886,428703
2020-12-27,31795,887,428703
2020-12-28,31821,887,428703
2020-12-29,31983,887,428703
2020-12-30,32105,903,428703
2020-12-31,32311,903,428703
2021-01-01,32352,904,428703
2021-01-02,32466,904,428703
2021-01-03,32597,904,428703
2021-01-04,32716,904,428703
2021-01-05,32847,905,428703
2021-01-06,32968,908,428703
2021-01-07,33107,921,428703
2021-01-08,33227,941,428703
2021-01-09,33381,951,428703
2021-01-10,33566,952,428703
2021-01-11,33685,952,428703
2021-01-12,33757,957,428703
2021-01-13,33928,964,428703
2021-01-14,34075,966,428703
2021-01-15,34272,976,428703
2021-01-16,34432,984,428703
2021-01-17,34653,984,428703
2021-01-18,34800,984,428703
2021-01-19,34961,984,428703
2021-01-20,35187,994,428703
2021-01-21,35305,999,428703
2021-01-22,35504,1005,428703
2021-01-23,35669,1012,428703
2021-01-24,35873,1014,428703
2021-01-25,35973,1014,428703
2021-01-26,36234,1014,428703
2021-01-27,36464,1014,428703
2021-01-28,36603,1021,428703
2021-01-29,36799,1027,428703
2021-01-30,36949,1029,428703
2021-01-31,37024,1029,428703
2021-02-01,37046,1029,428703
2021-02-02,37152,1031,428703
2021-02-03,37271,1032,428703
2021-02-04,37434,1040,428703
2021-02-05,37555,1048,428703
2021-02-06,37757,1050,428703
2021-02-07,37893,1051,428703
2021-02-08,38017,1051,428703
2021-02-09,38171,1056,428703
2021-02-10,38311,1060,428703
2021-02-11,38440,1066,428703
2021-02-12,38509,1066,428703
2021-02-13,38595,1070,428703
2021-02-14,38602,1070,428703
2021-02-15,38630,1070,428703
2021-02-16,38686,1074,428703
2021-02-17,38922,1076,428703
2021-02-18,39057,1078,428703
2021-02-19,39151,1080,428703
2021-02-20,39272,1080,428703
2021-02-21,39326,1080,428703
2021-02-22,39357,1080,428703
2021-02-23,39453,1085,428703
2021-02-24,39544,1087,428703
2021-02-25,39679,1095,428703
2021-02-26,39768,1100,428703
2021-02-27,39871,1105,428703
2021-02-28,39910,1105,428703
