Município1;UF1;Data;Índice De Isolamento
SÃO PAULO;SP;sábado, 20/06;48%
SÃO PAULO;SP;domingo, 21/06;53%
SÃO PAULO;SP;segunda-feira, 22/06;47%
SÃO PAULO;SP;terça-feira, 23/06;47%
SÃO PAULO;SP;quarta-feira, 24/06;47%
SÃO PAULO;SP;quinta-feira, 25/06;45%
SÃO PAULO;SP;sexta-feira, 26/06;46%
SÃO PAULO;SP;sábado, 27/06;49%
SÃO PAULO;SP;domingo, 28/06;53%
SÃO PAULO;SP;segunda-feira, 29/06;47%
SÃO PAULO;SP;terça-feira, 30/06;46%
SÃO PAULO;SP;quarta-feira, 01/07;46%
SÃO PAULO;SP;quinta-feira, 02/07;46%
SÃO PAULO;SP;sexta-feira, 03/07;45%
SÃO PAULO;SP;sábado, 04/07;47%
SÃO PAULO;SP;domingo, 05/07;52%
SÃO PAULO;SP;segunda-feira, 06/07;46%
SÃO PAULO;SP;terça-feira, 07/07;46%
SÃO PAULO;SP;quarta-feira, 08/07;45%
SÃO PAULO;SP;quinta-feira, 09/07;46%
SÃO PAULO;SP;sexta-feira, 10/07;45%
SÃO PAULO;SP;sábado, 11/07;47%
SÃO PAULO;SP;domingo, 12/07;52%
SÃO PAULO;SP;segunda-feira, 13/07;45%
SÃO PAULO;SP;terça-feira, 14/07;46%
SÃO PAULO;SP;quarta-feira, 15/07;46%
SÃO PAULO;SP;quinta-feira, 16/07;46%
SÃO PAULO;SP;sexta-feira, 17/07;44%
SÃO PAULO;SP;sábado, 18/07;46%
SÃO PAULO;SP;domingo, 19/07;52%
SÃO PAULO;SP;segunda-feira, 20/07;44%
SÃO PAULO;SP;terça-feira, 21/07;44%
SÃO PAULO;SP;quarta-feira, 22/07;43%
SÃO PAULO;SP;quinta-feira, 23/07;43%
SÃO PAULO;SP;sexta-feira, 24/07;42%
SÃO PAULO;SP;sábado, 25/07;45%
