"","datahora","casos","obitos","pop"
"97692","2020-07-26",15809,640,1175501
"98334","2020-07-27",15981,645,1175501
"98976","2020-07-28",16463,665,1175501
"99618","2020-07-29",16946,681,1175501
"100260","2020-07-30",17301,701,1175501
"100902","2020-07-31",17742,711,1175501
"101544","2020-08-01",18033,722,1175501
"102186","2020-08-02",18389,723,1175501
"102828","2020-08-03",18568,732,1175501
"103470","2020-08-04",19017,750,1175501
